DMSO,Nutlin
MT-RNR2_hg38,AGPAT4_hg38
MT-RNR1_hg38,HPCAL1_hg38
MT-ND5_hg38,RPS13_hg38
KDM3A_hg38,MDM2_hg38
MLLT3_hg38,RPS5_hg38
IDI1_hg38,ALDH1A3_hg38
WLS_hg38,NT5E_hg38
HMGCS1_hg38,GMDS_hg38
BAHCC1_hg38,MT2A_hg38
INPPL1_hg38,STC2_hg38
RBMS1_hg38,RPL28_hg38
MSMO1_hg38,ELK3_hg38
KMT2A_hg38,RPS14_hg38
CASC9_hg38,RPS25_hg38
NECTIN3_hg38,RPL35_hg38
MYO10_hg38,LAMC2_hg38
ACSL1_hg38,RPS15_hg38
RSRP1_hg38,PYGB_hg38
FHIP1A_hg38,TRAF3_hg38
CDC14A_hg38,SDC4_hg38
TMEM131L_hg38,RPS9_hg38
HCFC1_hg38,PMAIP1_hg38
NCAPD3_hg38,ARHGEF4_hg38
PCCA_hg38,GRB10_hg38
GGA2_hg38,DNTTIP1_hg38
CHD3_hg38,SERTAD2_hg38
GAA_hg38,RPL27A_hg38
TRIM2_hg38,SF3B6_hg38
PJA2_hg38,FOXO3_hg38
PLOD2_hg38,PLAUR_hg38
CDK18_hg38,FAU_hg38
ABCA2_hg38,SUGCT_hg38
ZNF827_hg38,PPP1R1C_hg38
MYH14_hg38,COTL1_hg38
FHOD3_hg38,DAP_hg38
SIK2_hg38,AGPAT5_hg38
GNE_hg38,RPL36AL_hg38
PNPLA3_hg38,TGFA_hg38
ABCA7_hg38,DCAF13_hg38
ACADVL_hg38,GCLC_hg38
LRP1_hg38,WDR12_hg38
DHTKD1_hg38,GP6-AS1_hg38
ENC1_hg38,TSEN2_hg38
SRGAP2_hg38,GPX4_hg38
STOX2_hg38,RABEPK_hg38
RFX2_hg38,PERP_hg38
SORL1_hg38,SLC12A8_hg38
KIF24_hg38,MYL12B_hg38
RALGPS1_hg38,KDELR2_hg38
NXF1_hg38,ARPC3_hg38
SPIRE2_hg38,MLPH_hg38
ABR_hg38,AAGAB_hg38
MCF2L_hg38,ERCC8_hg38
TNS1_hg38,TTC27_hg38
DISC1_hg38,NDUFV2_hg38
ZNF160_hg38,MKKS_hg38
RIC1_hg38,CLDN7_hg38
BSCL2_hg38,SLC16A1_hg38
DDX60_hg38,NME2_hg38
HJURP_hg38,SYF2_hg38
CEP250_hg38,CMC1_hg38
PANK2_hg38,STK17A_hg38
AKT1_hg38,EFNB2_hg38
ATG4B_hg38,MSH4_hg38
LINC02615_hg38,TBC1D14_hg38
GAK_hg38,PRDX6_hg38
NEDD4L_hg38,ENSG00000271793_hg38
SNRNP48_hg38,RCL1_hg38
MAN2C1_hg38,KIAA2026_hg38
HDGFL2_hg38,NAMPT_hg38
SNHG1_hg38,XIAP_hg38
RYBP_hg38,ANXA10_hg38
FANK1_hg38,LLPH_hg38
SDHAP2_hg38,ZNG1A_hg38
KAZN_hg38,SLC9A7_hg38
AFAP1_hg38,LTN1_hg38
ST3GAL3_hg38,MAP1B_hg38
HELLPAR_hg38,MECR_hg38
ESCO2_hg38,PTAR1_hg38
FBXO21_hg38,HS3ST1_hg38
PTK7_hg38,TMED9_hg38
DYNC2I1_hg38,BUD31_hg38
DCUN1D3_hg38,SLCO1B3_hg38
SLC5A3_hg38,SNRPC_hg38
STAT3_hg38,GPRC5D-AS1_hg38
MAST1_hg38,TMEM230_hg38
GPR137B_hg38,ENSG00000286044_hg38
DNAJC15_hg38,C9orf78_hg38
ZNF670_hg38,TOMM5_hg38
KMT2B_hg38,BLZF1_hg38
BCL9_hg38,PTPN2_hg38
ADARB1_hg38,SEL1L3_hg38
CENPO_hg38,SNW1_hg38
TOP1MT_hg38,COX5A_hg38
AP2M1_hg38,TIPRL_hg38
LRP2BP_hg38,EDF1_hg38
IARS2_hg38,KDM4C_hg38
CUL7_hg38,IFT57_hg38
SLC16A3_hg38,TCEA1_hg38
GINS4_hg38,TRMT13_hg38
PHLPP1_hg38,CDKL1_hg38
JUP_hg38,CCDC112_hg38
CEP43_hg38,YARS2_hg38
MEF2C_hg38,LYST_hg38
ZFAND5_hg38,SLC35F2_hg38
TPM2_hg38,OCIAD2_hg38
ZNF76_hg38,SUCLG1_hg38
ST14_hg38,CDC123_hg38
PIP4K2B_hg38,RPF1_hg38
PTOV1_hg38,MAP3K21_hg38
MTA1_hg38,ZNF623_hg38
PHF2_hg38,NSUN4_hg38
USP28_hg38,FKBP14_hg38
HMG20B_hg38,CCDC186_hg38
NEK9_hg38,DDIT3_hg38
GRTP1_hg38,NAF1_hg38
BAIAP2_hg38,TYW1B_hg38
TPCN1_hg38,GOLGA5_hg38
CUL4B_hg38,RAB5A_hg38
PAF1_hg38,DMGDH_hg38
APOLD1_hg38,CDC16_hg38
PHF6_hg38,MTO1_hg38
STAM_hg38,ZNG1B_hg38
KCNQ1OT1_hg38,CRACR2A_hg38
MEGF9_hg38,USP12_hg38
PLXNB2_hg38,BCAS2_hg38
HERC2P2_hg38,IER3IP1_hg38
AACS_hg38,GNL2_hg38
SETD1A_hg38,VPS26A_hg38
DIXDC1_hg38,DNAJB1_hg38
ANKRD50_hg38,MTG2_hg38
RAVER1_hg38,ICE1_hg38
GMNN_hg38,ATP5PD_hg38
TMEM63A_hg38,UBE2J1_hg38
BRD9_hg38,TAF1D_hg38
ACAT2_hg38,RGS20_hg38
ATP2C2_hg38,OTUD6B_hg38
VASP_hg38,PSMD6_hg38
RFX3_hg38,FBXO45_hg38
TRPV1_hg38,IKZF5_hg38
CCNT1_hg38,UBASH3B_hg38
SHCBP1_hg38,SLC10A7_hg38
NKD1_hg38,ZNHIT6_hg38
PIP5K1C_hg38,PRKAR2A_hg38
RPAP1_hg38,C1orf52_hg38
GBA2_hg38,WWC2_hg38
SRSF7_hg38,PIGB_hg38
EPS8L2_hg38,FYTTD1_hg38
SMTN_hg38,VDAC2_hg38
KDM2B_hg38,USPL1_hg38
UBE3B_hg38,RCN2_hg38
CTDP1_hg38,SDHAF2_hg38
PAPSS1_hg38,ACSF3_hg38
SPATA33_hg38,KIAA1143_hg38
STIM2_hg38,GRAMD1B_hg38
TSPYL1_hg38,RANBP1_hg38
WDFY1_hg38,CNOT7_hg38
CDK2_hg38,DCAF10_hg38
MREG_hg38,CD63_hg38
SDHAP3_hg38,ALPK1_hg38
GAB1_hg38,MAP1LC3B_hg38
CBL_hg38,LRBA_hg38
COG8_hg38,R3HDM2_hg38
PDK1_hg38,ABCF2_hg38
CCDC3_hg38,MTHFD2L_hg38
DUS1L_hg38,SFMBT1_hg38
DCUN1D2_hg38,BCO2_hg38
HOMER1_hg38,VTI1B_hg38
SANBR_hg38,CLDN12_hg38
SCML2_hg38,ZCCHC9_hg38
SUPT20H_hg38,MTFR1_hg38
MED15_hg38,LRRC41_hg38
CDH1_hg38,POLH_hg38
MRPS22_hg38,CLTA_hg38
FBXO46_hg38,SEM1_hg38
NFIB_hg38,LINC02340_hg38
ZNF124_hg38,SLC25A12_hg38
PROSER1_hg38,HEATR5A_hg38
NFATC1_hg38,POLR1F_hg38
PTK2_hg38,FUCA2_hg38
TLE1_hg38,ZNF516_hg38
CPD_hg38,FBXO38_hg38
ATP6V1B2_hg38,ENSG00000268750_hg38
BLTP3B_hg38,SLU7_hg38
RDX_hg38,PCMTD1_hg38
OFD1_hg38,ARID3B_hg38
DDX27_hg38,OTUD6B-AS1_hg38
STAG2_hg38,TMF1_hg38
TRDMT1_hg38,CCNYL2_hg38
UNC45A_hg38,ZNF544_hg38
FBXO33_hg38,YIPF4_hg38
MAMLD1_hg38,SLC37A3_hg38
PHRF1_hg38,UBE2N_hg38
SLC9A3R1_hg38,MED4_hg38
MFHAS1_hg38,STOML2_hg38
LUZP1_hg38,MIDN_hg38
ZNF740_hg38,HYCC1_hg38
RNF207_hg38,TFDP1_hg38
PLEKHG1_hg38,UBE4A_hg38
DVL3_hg38,PARD6B_hg38
PAXIP1_hg38,ZDHHC21_hg38
ZNF731P_hg38,CBR4_hg38
HAUS6_hg38,FBXW4_hg38
PTMAP5_hg38,ARHGAP42_hg38
WNK2_hg38,BCL10_hg38
IFRD1_hg38,TAMM41_hg38
C2orf69_hg38,TRIP13_hg38
BICDL1_hg38,TMEM242_hg38
DHX16_hg38,OSMR-DT_hg38
SMYD2_hg38,PRPS1_hg38
SHB_hg38,FAM114A1_hg38
TTLL12_hg38,CHST11_hg38
SUZ12P1_hg38,ENSG00000144785_hg38
TATDN2_hg38,PRORP_hg38
HEXIM1_hg38,PGM3_hg38
UBN2_hg38,SNHG16_hg38
PHF10_hg38,LRIF1_hg38
ERO1A_hg38,C17orf80_hg38
BMAL1_hg38,C12orf29_hg38
OTUD7B_hg38,PARP8_hg38
NPTN_hg38,DCTD_hg38
P4HA2_hg38,SLC35B3_hg38
SUCO_hg38,LYN_hg38
